Arise;Arose;Arisen;Возникать
Awake;Awoke;Awoken;Будить
Be;Was;Been;Быть
Bear;Bore;Born;Рожать
Beat;Beat;Beaten;Бить
Become;Became;Become;Становиться
Begin;Began;Begun;Начинать
Bend;Bent;Bent;Гнуть
Bet;Bet;Bet;Пари
Bind;Bound;Bound;Связывать
Bite;Bit;Bitten;Кусаться
Bleed;Bled;Bled;Кровоточить
Blow;Blew;Blown;Дуть
Break;Broke;Broken;Ломать
Breed;Bred;Bred;Размножаться
Bring;Brought;Brought;Приносить
Build;Built;Built;Строить
Buy;Bought;Bought;Покупать
Catch;Caught;Caught;Ловить
Choose;Chose;Chosen;Выбирать
Cling;Clung;Clung;Цепляться
Come;Came;Come;Приходить
Cost;Cost;Cost;Стоить
Cut;Cut;Cut;Резать
Deal;Dealt;Dealt;Вести_дела
Dig;Dug;Dug;Копать
Do;Did;Done;Делать
Draw;Drew;Drawn;Рисовать
Drink;Drank;Drunk;Пить
Drive;Drove;Driven;Водить_автомобиль
Eat;Ate;Eaten;Кушать
Fall;Fell;Fallen;Падать
Feed;Fed;Fed;Кормить
Feel;Felt;Felt;Чувствовать
Fight;Fought;Fought;Бороться
Find;Found;Found;Находить
Flee;Fled;Fled;Сбежать
Fly;Flew;Flown;Летать
Forbid;Forbade;Forbidden;Запрещать
Forget;Forgot;Forgotten;Забывать
Forgive;Forgave;Forgiven;Простить
Freeze;Froze;Frozen;Замораживать
Get;Got;Got;Получать
Give;Gave;Given;Давать
Go;Went;Gone;Идти
Grow;Grew;Grown;Расти
Hang;Hung;Hung;Висеть
Have;Had;Had;Иметь
Hear;Heard;Heard;Слышать
Hide;Hid;Hidden;Прятать
Hit;Hit;Hit;Попадать,ударять
Hold;Held;Held;Держать
Hurt;Hurt;Hurt;Причинять_боль
Keep;Kept;Kept;Держать
Know;Knew;Known;Знать
Lay;Laid;Laid;Класть,стелить
Lead;Led;Led;Вести,лидировать
Learn;Learnt;Learnt;Учиться,узнавать
Leave;Left;Left;Покидать,оставлять
Lend;Lent;Lent;Давать_взаймы
Let;Let;Let;Позволять
Lie;Lay;Lain;Лежать
Light;Lit;Lit;Зажигать,освещать
Lose;Lost;Lost;Терять
Make;Made;Made;Делать,мастерить
Mean;Meant;Meant;Значить
Meet;Met;Met;Встречать,знакомиться
Pay;Paid;Paid;Платить
Put;Put;Put;Класть,ставить
Read;Read;Read;Читать
Ride;Rode;Ridden;Ездить_верхом
Ring;Rang;Rung;Звонить
Rise;Rose;Risen;Восходить
Run;Ran;Run;Бежать
Say;Said;Said;Сказать
See;Saw;Seen;Видеть
Seek;Sought;Sought;Искать
Sell;Sold;Sold;Продавать
Send;Sent;Sent;Посылать
Set;Set;Set;Устанавливать
Shake;Shook;Shaken;Трясти
Shine;Shone;Shone;Светить,сиять
Shoot;Shot;Shot;Стрелять
Show;Showed;Shown;Показывать
Shrink;Shrank;Shrunk;Сжиматься
Shut;Shut;Shut;Закрывать,затворять
Sing;Sang;Sung;Петь
Sit;Sat;Sat;Сидеть
Sleep;Slept;Slept;Спать
Slide;Slid;Slid;Скользить
Smell;Smelt;Smelt;Пахнуть,нюхать
Speak;Spoke;Spoken;Говорить
Speed;Sped;Sped;Мчаться
Spell;Spelt;Spelt;Произносить_по_буквам
Spend;Spent;Spent;Тратить;Проводить
Spill;Spilt;Spilt;Разлить
Spin;Spun;Spun;Крутить
Split;Split;Split;Разделять,раскалывать
Spoil;Spoilt;Spoilt;Портить
Spread;Spread;Spread;Развернуть,распространять
Stand;Stood;Stood;Стоять
Steal;Stole;Stolen;Воровать
Sting;Stung;Stung;Жалить
Stink;Stank;Stunk;Вонять
Strike;Struck;Struck;Бастовать,ударять
Swear;Swore;Sworn;Клясться,ругаться
Sweep;Swept;Swept;Подметать
Swell;Swelled;Swollen;Опухать
Swim;Swam;Swum;Плавать
Take;Took;Taken;Брать
Teach;Taught;Taught;Обучать
Tear;Tore;Torn;Рвать
Tell;Told;Told;Рассказывать
Think;Thought;Thought;Думать
Throw;Threw;Thrown;Бросать
Understand;Understood;Understood;Понимать
Wake;Woke;Woken;Будить
Wear;Wore;Worn;Носить_(одежду)
Win;Won;Won;Побеждать
Wind;Wound;Wound;Заводить_часы,наматывать
Write;Wrote;Written;Писать
